subtentorial_lesions_negative_Archaea
2714355	Bacteria	Bacillota	Clostridia	Eubacteriales	Oscillospiraceae	Vescimonas	coprocola
29382	Bacteria	Bacillota	Bacilli	Bacillales	Staphylococcaceae	Staphylococcus	cohnii
456327	Bacteria	Pseudomonadota	Gammaproteobacteria	Xanthomonadales	Xanthomonadaceae	Xanthomonas	euvesicatoria
1737424	Bacteria	Bacillota	Clostridia	Eubacteriales	Lachnospiraceae	Blautia	massiliensis (ex Durand et al. 2017)
1115758	Bacteria	Bacillota	Clostridia	Eubacteriales	Peptostreptococcaceae	Romboutsia	ilealis
2726954	Bacteria	Bacillota	Clostridia	Eubacteriales	Clostridiaceae	Sarcina	sp. JB2
2929492	Bacteria	Bacillota	Clostridia	Eubacteriales	Oscillospiraceae	Faecalibacterium	sp. I3-3-33
2735723	Bacteria	Bacillota	Erysipelotrichia	Erysipelotrichales	Turicibacteraceae	Turicibacter	bilis
2708053	Bacteria	Bacillota	Clostridia	Eubacteriales	Peptostreptococcaceae	Romboutsia	sp. 13368
1598	Bacteria	Bacillota	Bacilli	Lactobacillales	Lactobacillaceae	Limosilactobacillus	reuteri
2682456	Bacteria	Bacillota	Negativicutes	Veillonellales	Veillonellaceae	Veillonella	nakazawae
89014	Bacteria	Bacillota	Clostridia	Eubacteriales	Lachnospiraceae	Blautia	luti
47770	Bacteria	Bacillota	Bacilli	Lactobacillales	Lactobacillaceae	Lactobacillus	crispatus
2479767	Bacteria	Bacillota	Clostridia	Eubacteriales	Lachnospiraceae	Blautia	sp. SC05B48
1597	Bacteria	Bacillota	Bacilli	Lactobacillales	Lactobacillaceae	Lacticaseibacillus	paracasei
1343	Bacteria	Bacillota	Bacilli	Lactobacillales	Streptococcaceae	Streptococcus	vestibularis
2779518	Bacteria	Bacillota	Clostridia	Eubacteriales	Lachnospiraceae	Blautia	liquoris
1160721	Bacteria	Bacillota	Clostridia	Eubacteriales	Oscillospiraceae	Ruminococcus	bicirculans (ex Wegman et al. 2014)
2929493	Bacteria	Bacillota	Clostridia	Eubacteriales	Oscillospiraceae	Faecalibacterium	sp. I3-3-89
1541	Bacteria	Bacillota	Clostridia	Eubacteriales	Peptostreptococcaceae	Terrisporobacter	mayombei
1161942	Bacteria	Bacillota	Clostridia	Eubacteriales	Oscillospiraceae	Ruminococcus	champanellensis
28026	Bacteria	Actinomycetota	Actinomycetes	Bifidobacteriales	Bifidobacteriaceae	Bifidobacterium	pseudocatenulatum
28037	Bacteria	Bacillota	Bacilli	Lactobacillales	Streptococcaceae	Streptococcus	mitis
1318	Bacteria	Bacillota	Bacilli	Lactobacillales	Streptococcaceae	Streptococcus	parasanguinis
33035	Bacteria	Bacillota	Clostridia	Eubacteriales	Lachnospiraceae	Blautia	producta
2929495	Bacteria	Bacillota	Clostridia	Eubacteriales	Oscillospiraceae	Faecalibacterium	sp. I4-3-84
702114	Bacteria	Pseudomonadota	Gammaproteobacteria	Methylococcales	Methylococcaceae	Methylomonas	koyamae

lesion_burden_001_Bacteria
	Kingdom	Phylum	Class	Order	Family	Genus	Species
2779519	Bacteria	Actinomycetota	Coriobacteriia	Coriobacteriales	Atopobiaceae	Thermophilibacter	immobilis
287	Bacteria	Pseudomonadota	Gammaproteobacteria	Pseudomonadales	Pseudomonadaceae	Pseudomonas	aeruginosa
329854	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Bacteroidaceae	Bacteroides	intestinalis
371601	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Bacteroidaceae	Bacteroides	xylanisolvens
556259	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Bacteroidaceae	Bacteroides	sp. D2
1596	Bacteria	Bacillota	Bacilli	Lactobacillales	Lactobacillaceae	Lactobacillus	gasseri
1522	Bacteria	Bacillota	Erysipelotrichia	Erysipelotrichales	Coprobacillaceae	Thomasclavelia	[Clostridium] innocuum
28118	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Odoribacteraceae	Odoribacter	splanchnicus
28116	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Bacteroidaceae	Bacteroides	ovatus
2715212	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Bacteroidaceae	Bacteroides	faecium
604330	Bacteria	Actinomycetota	Coriobacteriia	Coriobacteriales	Atopobiaceae	Parafannyhessea	umbonata
1598	Bacteria	Bacillota	Bacilli	Lactobacillales	Lactobacillaceae	Limosilactobacillus	reuteri
674529	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Bacteroidaceae	Bacteroides	faecis
46503	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Tannerellaceae	Parabacteroides	merdae
2086584	Bacteria	Bacillota	Clostridia	Eubacteriales	Eubacteriales Family XIII. Incertae Sedis	Massilistercora	timonensis
1675036	Bacteria	Bacillota	Negativicutes	Veillonellales	Veillonellaceae	Megasphaera	hexanoica
1623	Bacteria	Bacillota	Bacilli	Lactobacillales	Lactobacillaceae	Ligilactobacillus	ruminis
2003188	Bacteria	Actinomycetota	Coriobacteriia	Coriobacteriales	Atopobiaceae	Parolsenella	catena
821	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Bacteroidaceae	Phocaeicola	vulgatus
