# Pathway	AMCTRL15_R1.fq_fused_Abundance-CPM	ERR4330046_1.fastq_fused_Abundance-CPM	ERR4330063_1.fastq_fused_Abundance-CPM	ERR4330071_1.fastq_fused_Abundance-CPM	ERR4330072_1.fastq_fused_Abundance-CPM	ERR4330106_1.fastq_fused_Abundance-CPM	ERR4330111_1.fastq_fused_Abundance-CPM	ERR4333879_1.fastq_fused_Abundance-CPM	ERR4333941_1.fastq_fused_Abundance-CPM	ERR4333958_1.fastq_fused_Abundance-CPM	ERR4333961_1.fastq_fused_Abundance-CPM	ERR4334017_1.fastq_fused_Abundance-CPM	ERR4334044_1.fastq_fused_Abundance-CPM	ERR4334065_1.fastq_fused_Abundance-CPM	ERR4334084_1.fastq_fused_Abundance-CPM	ERR4334132_1.fastq_fused_Abundance-CPM	ERR4334171_1.fastq_fused_Abundance-CPM	ERR4334201_1.fastq_fused_Abundance-CPM	ERR4334219_1.fastq_fused_Abundance-CPM	ERR4334225_1.fastq_fused_Abundance-CPM	ERR4334253_1.fastq_fused_Abundance-CPM	ERR4335098_1.fastq_fused_Abundance-CPM	ERR4335137_1.fastq_fused_Abundance-CPM	ERR4335169_1.fastq_fused_Abundance-CPM	ERR4335257_1.fastq_fused_Abundance-CPM	ERR4335259_1.fastq_fused_Abundance-CPM	ERR4335281_1.fastq_fused_Abundance-CPM	ERR4335315_1.fastq_fused_Abundance-CPM	ERR4341695_1.fastq_fused_Abundance-CPM	ERR4341716_1.fastq_fused_Abundance-CPM	ERR4341722_1.fastq_fused_Abundance-CPM	ERR4341723_1.fastq_fused_Abundance-CPM	ERR4341772_1.fastq_fused_Abundance-CPM	ERR4341784_1.fastq_fused_Abundance-CPM	ERR4341884_1.fastq_fused_Abundance-CPM	ERR4341923_1.fastq_fused_Abundance-CPM	ERR4341949_1.fastq_fused_Abundance-CPM	ERR4341950_1.fastq_fused_Abundance-CPM	HV01_R1.fq_fused_Abundance-CPM	HV02_R1.fq_fused_Abundance-CPM	HV03_R1.fq_fused_Abundance-CPM	HV04_R1.fq_fused_Abundance-CPM	HV05_R1.fq_fused_Abundance-CPM	HV06_R1.fq_fused_Abundance-CPM	HV07_R1.fq_fused_Abundance-CPM	HV08_R1.fq_fused_Abundance-CPM	HV09_R1.fq_fused_Abundance-CPM	HV10_R1.fq_fused_Abundance-CPM	HV11_R1.fq_fused_Abundance-CPM	HV12_R1.fq_fused_Abundance-CPM	HV13_R1.fq_fused_Abundance-CPM	HV14_R1.fq_fused_Abundance-CPM	MAV02T0_EKDN230029731-1A_HJJTWDSX7_L3_R1.fq_fused_Abundance-CPM	MAV05T0_EKDN230029732-1A_HJJTWDSX7_L3_R1.fq_fused_Abundance-CPM	MAV09T0_EKDN230029733-1A_HJJTWDSX7_L3_R1.fq_fused_Abundance-CPM	MAV10T0_EKDN230029734-1A_HJGKNDSX7_L3_R1.fq_fused_Abundance-CPM	MAV11T0_EKDN230029735-1A_HJGKNDSX7_L3_R1.fq_fused_Abundance-CPM	MAV13T0_EKDN230029736-1A_HJGKNDSX7_L3_R1.fq_fused_Abundance-CPM	MAV14T0_EKDN230029737-1A_HJGKNDSX7_L3_R1.fq_fused_Abundance-CPM	MAV17T0_EKDN230029738-1A_HJGKNDSX7_L3_R1.fq_fused_Abundance-CPM	MAV18T0_EKDN230029739-1A_HJGKNDSX7_L3_R1.fq_fused_Abundance-CPM	MAV19T0_R1.fq_fused_Abundance-CPM	MAV21T0_EKDN230029741-1A_HJGKNDSX7_L3_R1.fq_fused_Abundance-CPM	MAV26T0_EKDN230029742-1A_HJGKNDSX7_L3_R1.fq_fused_Abundance-CPM	MAV27T0_EKDN230029743-1A_HJGKNDSX7_L3_R1.fq_fused_Abundance-CPM	MAV28T0_EKDN230029744-1A_HJGKNDSX7_L3_R1.fq_fused_Abundance-CPM	MAV29T0_EKDN230029745-1A_HJGKNDSX7_L3_R1_fused_Abundance-CPM	MAV30T0_EKDN230029746-1A_HJGKNDSX7_L3_R1.fq_fused_Abundance-CPM	MAV32T0_R1.fq_fused_Abundance-CPM	MAV33T0_R1.fq_fused_Abundance-CPM	MBCTRL17_R1.fq_fused_Abundance-CPM	MS10_S10_R1.fq_fused_Abundance-CPM	MS11_R1.fq_fused_Abundance-CPM	MS12_R1.fq_fused_Abundance-CPM	MS13_R1.fq_fused_Abundance-CPM	MS14_R1.fq_fused_Abundance-CPM	MS15_R1.fq_fused_Abundance-CPM	MS16_R1.fq_fused_Abundance-CPM	MS17_R1.fq_fused_Abundance-CPM	MS18_R1.fq_fused_Abundance-CPM	MS19_R1.fq_fused_Abundance-CPM	MS1_S1_R1.fq_fused_Abundance-CPM	MS20_R1.fq_fused_Abundance-CPM	MS21_R1.fq_fused_Abundance-CPM	MS22_R1.fq_fused_Abundance-CPM	MS23_R1.fq_fused_Abundance-CPM	MS24_R1.fq_fused_Abundance-CPM	MS25_R1.fq_fused_Abundance-CPM	MS26_R1.fq_fused_Abundance-CPM	MS2_S2_R1.fq_fused_Abundance-CPM	MS3_S3_R1.fq_fused_Abundance-CPM	MS4_S4_R1.fq_fused_Abundance-CPM	MS5_S5_R1.fq_fused_Abundance-CPM	MS6_S6_R1.fq_fused_Abundance-CPM	MS7_S7_R1.fq_fused_Abundance-CPM	MS8_S8_R1.fq_fused_Abundance-CPM	MS9_S9_R1.fq_fused_Abundance-CPM	NBCTRL18_R1.fq_fused_Abundance-CPM	RRCTRL16_EKDN240004377-1A_2237LCLT4_L8_R1.fq_fused_Abundance-CPM	TEC01T0_ZKDN230026684-1A_HMC2MDSX7_L1_R1.fq_fused_Abundance-CPM	TEC02T0_EKDN230029719-1A_HJJTWDSX7_L3_R1.fq_fused_Abundance-CPM	TEC03T0_ZKDN230026686-1A_HMC2MDSX7_L1_R1.fq_fused_Abundance-CPM	TEC04T0_EKDN230029720-1A_HJJTWDSX7_L3_R1.fq_fused_Abundance-CPM	TEC05T0_R1.fq_fused_Abundance-CPM	TEC06T0_R1.fq_fused_Abundance-CPM	TEC07T0_EKDN230029723-1A_HJJTWDSX7_L3_R1.fq_fused_Abundance-CPM	TEC08T0_EKDN230029724-1A_HJJTWDSX7_L3_R1.fq_fused_Abundance-CPM	TEC09T0_EKDN230029725-1A_HJJTWDSX7_L3_R1.fq_fused_Abundance-CPM	TEC10T0_ZKDN230026688-1A_HMC2MDSX7_L1_R1.fq_fused_Abundance-CPM	TEC11T0_EKDN230029726-1A_HJJTWDSX7_L3_R1.fq_fused_Abundance-CPM	TEC12T0_EKDN230029727-1A_HJJTWDSX7_L3_R1.fq_fused_Abundance-CPM	TEC14T0_ZKDN230026689-1A_HMC2MDSX7_L1_R1.fq_fused_Abundance-CPM	TEC15T0_EKDN230029728-1A_HJJTWDSX7_L3_R1.fq_fused_Abundance-CPM	TEC16T0_EKDN230029729-1A_HJJTWDSX7_L3_R1.fq_fused_Abundance-CPM	TEC17T0_ZKDN230026690-1A_HMC2MDSX7_L1_R1.fq_fused_Abundance-CPM	TEC19T0_EKDN230029730-1A_HJJTWDSX7_L3_R1.fq_fused_Abundance-CPM	TEC20T0_ZKDN230026691-1A_HMC2MDSX7_L1_R1.fq_fused_Abundance-CPM	TEC21T0_ZKDN230026692-1A_HMC2MDSX7_L1_R1.fq_fused_Abundance-CPM	TEC22T0_ZKDN230026693-1A_HMC2MDSX7_L1_R1.fq_fused_Abundance-CPM	TEC24T0_ZKDN230026709-1A_HMC2MDSX7_L2_R1.fq_fused_Abundance-CPM	TEC26T0_EKDN240004369-1A_222VCVLT4_L1_R1.fq_fused_Abundance-CPM	TEC27T0_R1.fq_fused_Abundance-CPM	TEC28T0_EKDN240004371-1A_222VCVLT4_L1_R1.fq_fused_Abundance-CPM	TEC30T0_EKDN240004380-1A_222VKGLT4_L1_R1.fq_fused_Abundance-CPM	TEC31T0_EKDN240004383-1A_222VKGLT4_L1_R1.fq_fused_Abundance-CPM
COA-PWY: coenzyme A biosynthesis I (prokaryotic)|g__Finegoldia.s__Finegoldia_magna	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.155293	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
COA-PWY: coenzyme A biosynthesis I (prokaryotic)|g__Flavonifractor.s__Flavonifractor_plautii	0	0	0	0.556191	2.59534	1.00173	0	0.449154	0	7.00596	0.754329	0.383342	0	0.412757	0.33681	2.19896	3.24432	0	0	0	3.762	0	2.68677	0.292532	0	0	1.92698	1.13817	1.01109	0.634202	0	0.511087	2.4115	1.80874	0	0	1.57982	0	0.63849	2.72565	1.53146	0	2.45533	4.92677	1.53292	3.53282	0.301181	0.7039	8.36067	0	0	0.598875	0	0	3.52994	0.809583	1.91201	0.809552	0.258343	0	0	0.317023	0.682075	1.32394	1.52726	0	0	0.389337	0	0.458093	0	0	0	0.676295	1.62245	1.39094	0	10.736	0	0.220596	0.14122	0.618145	0	0.999423	0.393111	0	2.16115	0	0	0	0.307021	0	0	0	2.15051	0.682568	0.234334	0	0	0	0.352133	0	0.522247	0.561463	0	0	0	0.876494	0	0	1.23548	0.339602	0.198323	1.9237	0.347968	4.00991	0.71356	0	0.980248	7.86514	1.75049	0.412743	0	0	0.198992
COA-PWY: coenzyme A biosynthesis I (prokaryotic)|g__Fusobacterium.s__Fusobacterium_ulcerans	0	0	0	0	0.648927	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
COA-PWY: coenzyme A biosynthesis I (prokaryotic)|g__Gemella.s__Gemella_sanguinis	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.206665	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
COA-PWY: coenzyme A biosynthesis I (prokaryotic)|g__Gordonibacter.s__Gordonibacter_pamelaeae	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.253372	0	0	0	0	0.0545345	0	0	0	0	0.542881	0.177125	0	0.111098	0	0	0	0	0.301162	0	1.1562	0	0.97863	0	1.30962	0	0	0.724104	0	0.0866309	0	0	0	0	0	0	0	0	0	0	0.941323	0	0	0	1.25875	0	0	0.0219244	0.0522002	0	0.0334301	0	0.39729	0.184601	0	0.129996	0	0	0.574021	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
COA-PWY: coenzyme A biosynthesis I (prokaryotic)|g__Gordonibacter.s__Gordonibacter_urolithinfaciens	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.571645	0	0	0	0	0	0	0.899576	0.0356856	0.248647	0	0	0	0	0	0	0.4304	6.24359	0	0	0	0	0.0662268	0	0.336977	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0356514	0	0	0.28945	0.171091	0	0.176546	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.158879	0	0	1.843	0	0	0	0	0	0.576042	0	0	0	0	0	0	0	0	0	0	0
COA-PWY: coenzyme A biosynthesis I (prokaryotic)|g__Granulicatella.s__Granulicatella_adiacens	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.173252	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
COA-PWY: coenzyme A biosynthesis I (prokaryotic)|g__Haemophilus.s__Haemophilus_parainfluenzae	1.44388	0	0.380392	0	0	0	0	0	0	0	0	0	0.341706	0	0	0	0	0.450584	0	0	0	0.520133	0	0	0	0	0	0	0	0	0	0	0.596487	0	0	0	0	0	0	0	0	0	0	0.092443	2.47407	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.62019	0	0	0	0	0.214071	0.363829	0	0	0	0.357301	0	0	0.449727	0	0	0.394438	0	0	1.1784	3.52952	0	0	0	0	0	0	4.74183	1.50279	0.502178	0	0	0	0.651476	0	0	0	0	0	14.3348	0.53969	0.843764	0.538675	0	0	0	0	0.734733	0	0	0	0	0	0	0	0	0	0.565524	3.38687	0
COA-PWY: coenzyme A biosynthesis I (prokaryotic)|g__Haemophilus.s__Haemophilus_pittmaniae	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.286947	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
COA-PWY: coenzyme A biosynthesis I (prokaryotic)|g__Hafnia.s__Hafnia_alvei	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.214248	0	0	0	0	0	0	0	0	0	0
COA-PWY: coenzyme A biosynthesis I (prokaryotic)|g__Hafnia.s__Hafnia_paralvei	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.18873	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.244613	0	0	0	0	0	0	0	0	0	0
COA-PWY: coenzyme A biosynthesis I (prokaryotic)|g__Hungatella.s__Hungatella_hathewayi	0	0	0	0.746432	1.72909	0	0	0	0	6.17522	0	0.421044	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.501332	0	0	0	0	0	0.285427	0	0	0.175754	0	0	0	0.192641	0	0	0.65579	0.503756	0	0	0	0	0	0	0.798113	8.05495	0.940219	0	0	0	0	0	0	0	0	0	0	0	0	0.16747	0	0	0	0.469543	0.598349	0.975511	0	3.65989	0	0.720876	0	1.12184	0	0.686197	0	0	0.337571	0	0	0.195946	0	0	0	0	0.281224	0.339749	0	0	0	0	0	0	0	0	0.259453	0	0	0	0	0	0.523471	0.403186	0	0.897113	0.202169	1.7977	0	0	0	4.01628	0	2.87444	0	0	0
COA-PWY: coenzyme A biosynthesis I (prokaryotic)|g__Intestinimonas.s__Intestinimonas_butyriciproducens	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.366979	0	0	0	0	0	0	0	0	0	0.286282	0	0	0	0	0	0.640114	0	0	0	0	0	0	0.230522	0	0	0	0	0	0	0	0.223728	0	0	0	0	0	0	0.766253	0.224144	0	1.64693	0	0	0.135186	0	0	0	0	0	0	0	0	0.195925	0	0	0	0	0.658391	0	0	0	0	0	0	0	0.396776	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.358491	0	0	0	0	0	0.495052	0	0.52644	0	0	0	0	0	0	0	0	0
COA-PWY: coenzyme A biosynthesis I (prokaryotic)|g__Klebsiella.s__Klebsiella_aerogenes	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.437024	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
COA-PWY: coenzyme A biosynthesis I (prokaryotic)|g__Klebsiella.s__Klebsiella_michiganensis	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.123576	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0606691	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
COA-PWY: coenzyme A biosynthesis I (prokaryotic)|g__Klebsiella.s__Klebsiella_pneumoniae	0	2.85788	0	0	0	0	0	0	0	0	0	3.25203	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3.1295	0	0	0	0	0.109603	0	0	0	0	0	0	0	0	0	0	1.00094	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.598733	0	0	0
COA-PWY: coenzyme A biosynthesis I (prokaryotic)|g__Klebsiella.s__Klebsiella_variicola	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.212427	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
COA-PWY: coenzyme A biosynthesis I (prokaryotic)|g__Lactobacillus.s__Lactobacillus_amylovorus	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6.60225	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.41066	0	0	0	0	0	0	0	0.103594	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
COA-PWY: coenzyme A biosynthesis I (prokaryotic)|g__Lactobacillus.s__Lactobacillus_crispatus	0	0	0	0	0	0	0	0	0	0	1.7158	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
COA-PWY: coenzyme A biosynthesis I (prokaryotic)|g__Lactobacillus.s__Lactobacillus_delbrueckii	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.402447	0	0	0	0	0	0	0	0.474468	0	0	0	0	0	0	0	0	0	0	0	0.166182	0	0.147433	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
COA-PWY: coenzyme A biosynthesis I (prokaryotic)|g__Lactobacillus.s__Lactobacillus_gasseri	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.667914	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.451329	0	0	0	0	0
COA-PWY: coenzyme A biosynthesis I (prokaryotic)|g__Lactobacillus.s__Lactobacillus_paragasseri	0	0	0	0	0	0	0	0	0	0	6.2207	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
COA-PWY: coenzyme A biosynthesis I (prokaryotic)|g__Lactococcus.s__Lactococcus_lactis	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.297072	0	0	0	0	0	0	0	0	0	0	0	0	0.200513	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.184383	0	0	0	5.46058	0	0.60256	0	0	0	0	0	0.34208	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.225737	0	0	0	0	0	0
COA-PWY: coenzyme A biosynthesis I (prokaryotic)|g__Lactococcus.s__Lactococcus_raffinolactis	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.12275	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
COA-PWY: coenzyme A biosynthesis I (prokaryotic)|g__Lawsonella.s__Lawsonella_clevelandensis	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.171273	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
COA-PWY: coenzyme A biosynthesis I (prokaryotic)|g__Lawsonibacter.s__Lawsonibacter_asaccharolyticus	0	0.738832	1.01792	0.57597	0.998429	3.14285	0	1.10992	2.03807	0	2.96955	1.40948	0	1.70052	0.497352	2.28761	4.8532	0	0	0.502709	5.63425	0	0	1.23654	1.69766	0.915353	4.48922	0	1.29199	0	0	1.06092	0.400123	0.921713	0	3.37382	0	0	0	1.04586	0.326682	0.41647	1.89995	3.14205	0.617487	3.37195	0.819269	1.09751	0.465614	0.585577	0.359755	1.78011	0.856956	0.342698	0	0	0	1.04898	0.352153	0.224343	1.09502	0.877286	0.322274	0.848118	0	1.08021	0	1.35582	0	1.61351	0.799435	1.19631	0.287611	0.666729	2.99892	0	1.71244	0.353487	0	0.156026	1.32013	0	0	0.951166	0	0.192751	0.0969893	0	0	0.210233	0.378023	0	0	0	0	0	0.35092	1.21334	0	1.25324	0.264022	0	0.800392	1.77082	0.243724	0.35022	0.618087	1.75798	0	0.646944	1.17958	0.32477	0.881453	0	1.11327	1.17589	0.629694	0	1.19872	1.09361	0	0	0	0	1.01507
COA-PWY: coenzyme A biosynthesis I (prokaryotic)|g__Leclercia.s__Leclercia_adecarboxylata	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.396834	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
COA-PWY: coenzyme A biosynthesis I (prokaryotic)|g__Leuconostoc.s__Leuconostoc_lactis	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.449434	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
COA-PWY: coenzyme A biosynthesis I (prokaryotic)|g__Megamonas.s__Megamonas_funiformis	0	0	0	0	0	0	0	5.59221	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9.18497	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.93953	0	0	0	0	0	131.559	0	0	0	0	0	0	0	0	0	0	0	0	0
